status_id,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7331091005_10154104610086006,25160,73107,62297,537,5474,255,8,5
7331091005_10154104528951006,116,679,2576,232,0,12,0,0
7331091005_10154104501471006,79,77,593,10,1,13,0,5
7331091005_10154104387216006,37,29,784,11,7,3,0,0
7331091005_10154104345626006,4934,32754,69967,1385,1243,450,57,86
7331091005_10154104265736006,1260,2280,4015,11,157,858,26,24
7331091005_10154104211586006,1014,1088,4071,50,17,199,1,6
7331091005_10154104083311006,219,274,893,18,13,26,4,57
7331091005_10154104037616006,1416,2879,8173,86,173,267,431,124
7331091005_10154103940461006,669,1116,17896,220,155,85,38,313
7331091005_10154103940516006,873,1269,3695,26,83,255,10,196
7331091005_10154103923971006,100,345,7296,92,80,7,0,1
7331091005_10154103785291006,99,77,2403,31,4,38,0,0
7331091005_10154103726336006,530,1720,27525,576,72,169,4,24
7331091005_10154103710296006,380,2117,24717,665,212,17,20,14
7331091005_10154103628861006,40,43,1129,22,3,16,0,0
7331091005_10154103456391006,1279,2363,8223,46,29,1694,7,4
7331091005_10154103448401006,214,1258,8049,199,144,10,1,9
7331091005_10154103410736006,205,821,4750,128,69,17,5,6
7331091005_10154103045316006,1659,16222,35340,517,707,1330,12,39
7331091005_10154102946876006,574,7063,37322,526,794,28,3,3
7331091005_10154102848631006,195,652,4251,51,138,63,2,5
7331091005_10154102833646006,1969,8949,25845,760,269,863,15,36
7331091005_10154102805201006,196,266,3249,48,6,359,1,10
7331091005_10154102791206006,2707,3665,15671,66,69,2849,432,42
7331091005_10154102783651006,649,3589,37898,834,610,116,12,63
7331091005_10154102751761006,332,763,4617,40,2,774,0,12
7331091005_10154102736951006,4691,46352,99719,1541,261,8223,104,674
7331091005_10154102727416006,994,3345,10971,208,20,980,6,28
7331091005_10154102675401006,349,519,5419,158,22,172,5,35
7331091005_10154102589661006,19084,78352,62587,714,60,10744,33,23
7331091005_10154102496226006,925,3371,22174,207,506,705,7,38
7331091005_10154102365486006,327,259,1900,7,52,312,6,1
7331091005_10154102316891006,234,442,1745,34,66,51,1,0
7331091005_10154102301186006,44,193,1785,31,23,2,0,2
7331091005_10154101997631006,405,1570,10544,202,33,140,4,12
7331091005_10154101998711006,413,401,6276,34,14,451,2,0
7331091005_10154101980046006,120,897,4566,26,241,18,0,0
7331091005_10154101914311006,839,2581,12729,115,280,166,2,0
7331091005_10154101879806006,1593,2230,12002,175,25,1117,2,44
7331091005_10154101769191006,824,2832,11915,44,361,414,3,2
7331091005_10154101728581006,244,2437,11205,412,39,71,9,160
7331091005_10154101736441006,13,37,677,4,5,1,0,10
7331091005_10154101669801006,46,38,391,6,0,16,0,4
7331091005_10154101483471006,39,37,999,15,3,2,0,9
7331091005_10154101359781006,87,67,240,3,8,14,2,36
7331091005_10154101002286006,162,251,4866,46,58,5,1,1
7331091005_10154100627196006,67,129,2185,37,17,5,0,1
7331091005_10154100606851006,118,356,5994,142,12,9,16,116
7331091005_10154100560386006,129,457,5008,183,19,11,20,116
7331091005_10154100416821006,5050,6214,27536,67,470,1799,17,28
7331091005_10154100374441006,550,577,5019,38,38,438,17,222
7331091005_10154100312296006,343,589,5299,39,131,772,5,9
7331091005_10154100200396006,11287,131992,87661,713,7943,260,16,8
7331091005_10154100138346006,469,1387,9253,175,10,524,3,28
7331091005_10154100010001006,104,69,1015,11,4,52,0,2
7331091005_10154099915556006,2166,5974,12636,139,34,872,10,226
7331091005_10154099740146006,4042,48323,71453,473,107,10448,65,218
7331091005_10154099702426006,669,533,5136,37,88,616,16,45
7331091005_10154099689381006,313,230,2882,35,9,192,4,121
7331091005_10154099580376006,5218,18363,24411,404,394,1695,105,2192
7331091005_10154099502986006,22,26,629,4,1,21,0,0
7331091005_10154099195001006,78,113,1982,4,42,14,5,44
7331091005_10154099082271006,570,574,3401,34,18,146,12,147
7331091005_10154098335416006,527,712,13359,161,39,975,14,35
7331091005_10154098257196006,77,67,1942,18,0,96,0,0
